Key (Decoded),Value (Decoded)
WACOM_CENTER_DEVPAGE_EDU_WEBVIEW_DEV,https://www-dev.wacom.com/wacom-center/product-videos?wcLang=ja&regMethod=%s&feedback=true
3090:03:00,3本
Nudging,ナッジング
Standard,標準
Import settings,設定をインポート
4001:121,ユーザーヘルプ
Toggle Last State,最後の状態の切り替え
Selective,選択的
Scroll,スクロール
Change Display Settings,ディスプレイの設定変更
Click lock,クリックロック
Rotation:,回転:
3001:07:00,All Open
Control the speed of this Dial mode.,このダイヤルモードの速度を調整します。
this feature is available for select remote computing systems. it is subject to wacom's commercial agreements with the remote system provider and remote system specific licensing and/or subscription requirements.,この機能は、選択されたリモート・コンピューティング・システムで利用できます。この機能は、ワコムとリモートシステムのプロバイダーとの商業契約、およびリモートシステム固有のライセンス、および/またはサブスクリプションの要件に従います。
WACOM_CENTER_REGISTER_WEBVIEW,https://www.wacom.com/wacom-center/register-device?wcLang=ja&regMethod=%s
Adjusting display settings,ディスプレイ設定の調整
"Step 2 - Use the ExpressKeys on either side to select ""Display Settings"", navigate menus, and select options.",ステップ2 - 左右のExpressKeysを使って、「ディスプレイ設定」 を選択し、メニューを操作して選択肢を選びます。
Use as a scroll wheel with optional modifier keys.,オプションの修飾キーでスクロールホイールとして使用します。
Spread,Spread
Output,出力値
Simple touch control,マルチタッチ機能のコントロール
3110:03:00,ローパワーモードに移行する時間： %d 分
Name your backup,バックアップに名前をつける
Test area,テストエリア
Driver update,ドライバアップデート
"Customize touch gestures, or limit touch input to On-screen shortcut menus.",タッチジェスチャをカスタマイズ、またはタッチ入力をオンスクリーンショートカットメニューのみに制限します。
Confirm,確認
"Make sure your Wacom product is connected to your computer, then start the check.",ワコムデバイスがコンピューターに接続されていることを確認してから、チェックを開始してください。
High,大きい
Tablet buttons and Touch keys,ペンタブレットボタンとタッチキー
Dials,ダイヤル
Show/hide all panels except toolbar,ツールバーを除く全てのパネルの表示・非表示
"Scroll or zoom, depending on the application.",アプリケーションに応じて、スクロールまたはズームします。
Create from current,現在の設定から作成
4001:101,重要な製品情報
"Customize 3-, 4-, and 5-finger touch gestures.",3本指、4本指、5本指のタッチジェスチャをカスタマイズします。
Up,上
Brush tool,ブラシツール
Go back one page.,1ページ戻ります。
Photoshop Colorist,Photoshop カラーリスト
Rename,名前の変更
all wacom bridge licenses are in use. contact your wacom bridge administrator to obtain more licenses for your company.,すべてのWacom Bridgeライセンスが使用中です。Wacom Bridgeの管理者に連絡して、追加ライセンスを取得してください。
Register my device,製品登録
5th click,第5ボタンクリック
Driver Info:,ドライバ情報:
Power & Menu,電源とメニュー
3001:11:00,ペン
Firm,硬い
Finger 2,Finger 2
4001:21:00,ExpressKey設定
Settings for your %s have been applied.,%sの設定が適用されました。
Keyboard shortcut,キーボードショートカット
"Assign Display toggle to a button, touch gesture, or On-screen shortcut to use it.",マッピング画面切り替えをボタン、タッチジェスチャ、またはオンスクリーンショートカットに割り当てて使用します。
1380:01:00,通常
Adjust the alignment between the pen and screen cursor.,ペンポインタと画面ポインタの位置関係を調整します。
Slow,遅い
Wacom,Wacom
The tablet driver is not responding.,タブレットドライバが反応していません。
Access the settings for your %s.,%sの設定を確認します。
2. Press and hold the Power/Bluetooth button until the light starts blinking and the tablet is in pairing mode.,2. ランプが点滅し始め、ペンタブレットがペアリングモードになるまで、電源/Bluetooth ボタンを押し続けます。
Pan/Scroll (legacy)...,スクロール/移動(レガシー)…
Model:,型式:
the wacom bridge license has expired. contact your wacom bridge administrator to update the license for your company and/or your wacom driver version.,Wacom Bridgeライセンスの有効期限が切れています。Wacom Bridgeの管理者に連絡し、会社および/またはワコムドライババージョンのライセンスを更新してください。
Forward,進む
"Assign Display toggle to a button, gesture or On-screen shortcut to use it.","Assign Display toggle to a button, gesture or On-screen shortcut to use it."
Horizontal wheel,水平ホイール
Orientation:,タブレットの向き:
Connected via USB,USBで接続
Using the Touch keys,タッチキーを使用する
Bonus Pack,Bonus Pack
Pen pressure,ペンの筆圧
Swipe up,上にスワイプ
licensing & subscription information,ライセンスとサブスクリプション情報
Brush tools,ブラシツール
Downloading updates,アップデートをダウンロード中
Adjust brightness and color settings for the display.,ディスプレイの明るさとカラー設定を調節します。
4001:160,マッピング設定
Double click,ダブルクリック
Tip-up assist,ペン先リリースアシスト
All applications,すべてのアプリケーション
"""Display toggle"" recommended","""Display toggle"" recommended"
4001:131,Bluetoothで接続
A collection of videos to help you get started and learn more about your device.,デバイスの使いかたやデバイスについてより詳しく知ることができる動画
Name,名前
"Errors found. To resolve the errors, try the following:",エラーが発見されました。エラーを修正するには、以下をお試しください:
"for up-to-date details about functionality and licenses or subscription requirements for your remote system, or to sign up for email updates about this service, visit the wacom webpage at https://www.wacom.com/enterprise/creative-enterprise/wacom-bridge or by selecting more info.",リモートシステムに関する機能、ライセンス、加入条件などの最新情報、サービスに関する最新情報のメール配信の登録については、ワコムのウェブページ (https://www.wacom.com/enterprise/creative-enterprise/wacom-bridge) または「さらに詳しく」を選択してください。
"The Touch ring can be used to Scroll, Rotate, Zoom, and more.",タッチホイールはスクロール、回転、ズームなどの操作に使用できます。
Pan/Scroll...,スクロール/移動…
Fast,速い
Touch setup,タッチ設定
Open Wacom Display Settings to customize the color and other settings of your Wacom display. Wacom recommends using one of the factory calibrated color spaces to ensure your display closely matches standard color representations.,"Open Wacom Display Settings to customize the color and other settings of your Wacom display. Wacom recommends using one of the factory calibrated color spaces to ensure your display closely matches standard color representations.""
""Open/Run"" = ""Open/Run"
3001:16:00,ペン
We detected a Wacom device that is not supported by this driver.,このタブレットドライバでサポートされていないワコムデバイスが検出されました。
4001:92,お使いのブラウザでワコムのチュートリアルを開きます。
WACOM_CENTER_PROFILE_WEBVIEW,https://www.wacom.com/wacom-center/profile?wcLang=ja
WACOM_CENTER_OSCPAGE_EDU_WEBVIEW,https://www.wacom.com/wacom-center/oss-videos?collection=oss?wcLang=ja&feedback=true
"To connect via Bluetooth, make sure the pen tablet is charged, then disconnect the cable.",Bluetoothで接続する場合は、ペンタブレットが充電されていることを確認し、ケーブルを外してください。
Tablet orientation,タブレットの向き
Numbers even,偶数
Zoom,ズーム
"Do you want to delete your On-screen shortcut ""%s""?",オンスクリーンショートカット「%s」を削除しますか？
Touch: On,タッチ機能： ON
Wacom Center,Wacom Center
4001:140,パソコンとの接続方法
Touch,タッチパネル
4001:60,タッチホイールの機能を変更します
Are you sure you want to remove the settings for %s?,本当に%sの設定を削除しますか。
Cut,切り取り
opens your default browser to a wacom bridge service provider support page for your wacom bridge.,ディフォルトのブラウザを開き、ワコムブリッジのサービスプロバイダサポートページに進みます。
"from time to time, customers may be required to upgrade to the latest driver, for example when the preview period ends or when features or license/subscription requirements are updated.",プレビュー期間終了時や、機能またはライセンス/サブスクリプション要件の更新時など、お客様より最新のドライバへアップグレードいただく必要となる場合があります。
Opens your default browser to a third party website.,ディフォルトのブラウザを開き、第三者のウェブサイトに進みます。
Edge swipe,エッジスワイプ
Frequently used,使用頻度が高いもの
Get bundled software,バンドルされたソフトウェアを入手する
Data Rate:,転送速度:
WACOM_CENTER_OSCPAGE_EDU_WEBVIEW_DEV,https://www-dev.wacom.com/wacom-center/oss-videos?collection=oss?wcLang=ja&feedback=true
find more advanced settings for display toggle here.,マッピング画面切り替えの詳細設定については、こちらをご覧ください。
4001:111,チュートリアル
Presets,プリセット
Scroll down,下スクロール
Step 3 - Press the Menu button to close the built-in menu.,ステップ3 - メニューボタンを押して内蔵メニューを閉じます。
Stamp all visible layers,すべての表示レイヤーのコピー
4001:02:00,ペンの設定
Next,次へ
"Display toggle is recommended for multi-screen setups. It does not change what you see on your pen display, only where your cursor navigates.",マルチスクリーン設定にはマッピング画面切り替えをお勧めします。ペンディスプレイに表示される内容は変更されず、カーソルが移動する場所のみが変更されます。
Auto Scroll/Zoom,オートスクロール/ズーム
4001:162,Selected Display Tablet
(remote),（リモート）
Right click,右クリック
Firmware update,ファームウェアアップデート
Customize how your tablet’s active area maps to your display(s).,ペンタブレットの読取可能範囲とディスプレイのマッピングをカスタマイズします。
confirm that the wacom bridge feature is turned on for your client software. see the wacom bridge documentation for your client software.,クライアントソフトウェアのWacom Bridge機能がオンになっていることをご確認ください。クライアントソフトウェアのWacom Bridgeマニュアルをご参照ください。
4001:167,画面
Large,大きい
"The touch function is entirely disabled, including the touch gestures.",タッチジェスチャーを含め、タッチ機能は完全に無効化されます。
"Access updates, general settings, back ups and troubleshooting options.",アップデート、全般設定、バックアップ、トラブルシューティングを確認できます。
Num,Num
Click for Bluetooth instructions,Bluetoothの使い方はこちらをご覧ください
Pan/Scroll,スクロール/移動
Please update your driver,ドライバをアップデートしてください
Save,保存
Undo,取り消し
Switches between the Dial modes.,ダイヤルモードを切り替えます。
Connect a device to see its settings here.,デバイスを接続して、設定を確認します。
Duplicate,複製
3001:17:00,ペン
Reset all settings,すべての設定をリセットする
4001:93,お使いのブラウザでワコムデバイスのオンラインマニュアルを開きます。
New,新規
3001:08:00,Closed
Pen gestures,ペンジャスチャー
WEBVIEW_ERROR_HEADER,ウェブサーバーへの接続中にエラーが発生しました
Not now,後でする
4001:142,タッチ機能： ON
Your Wacom device is no longer supported by this driver.,お使いのワコムデバイスはこのドライバでもうサポートされていません。
Natural,ナチュラル
"Customize Grid panels, Radial menus and Pen gestures.",グリッドパネル、ラジアルメニュー、ペンジェスチャーをカスタマイズします。
All Buttons Open,全スイッチOFF
"For utmost color accuracy and custom color spaces, use Wacom Color Manager (or another colorimeter compatible with Wacom Color Manager software) and create and save custom calibrations to your pen display. Custom calibrations will appear as options in the Color Mode menu. You can also create and save ICC profiles to your computer, as needed.",高度な色精度やカスタムカラースペースを活用するには、Wacom Color Magager（または Wacom Color Manager のソフトウェアと互換性のあるその他の測色器）を使って、ペンディスプレイのカスタムキャリブレーションを作成して保存ます。カスタムキャリブレーションは、「カラーモード」メニューにオプションとして表示されます。必要に応じて、ICC プロファイルを作成し、パソコンに保存することもできます。
"Login to Wacom ID, register devices and access special offers.",Wacom IDのログインや製品登録を行うことで、各種サービスをご利用いただけます。
WACOM_CENTER_LEARNING_WEBVIEW_QA,WACOM_CENTER_LEARNING_WEBVIEW_QA
4001:147,タッチパネルは、現在オンスクリーンショートカットに限定されています。
Use the slider on the device to enable or disable touch input.,タッチ入力を有効または無効にするには、デバイスのスライダーを使用します。
4001:61,タッチホイール設定
"Use Wacom Center to customize buttons, adjust display settings, get help, and more.",Wacom Centerでペンスイッチやボタンのカスタマイズやディスプレイ設定、ヘルプが利用できます。
Preset:,プリセット：
WACOM_CENTER_NEWS_WEBVIEW,https://www.wacom.com/wacom-center/news/intuos-pro?wcLang=ja
Learn more about the Tablet buttons and Touch keys,ペンタブレットボタンとタッチキーについてもっと知りましょう
there is no wacom bridge license on the remote computer. contact your wacom bridge administrator to troubleshoot or to obtain a license for your company.,リモートコンピュータにWacom Bridgeライセンスがありません。Wacom Bridgeの管理者に連絡して、トラブルシューティングを行うか、会社のライセンスを取得してください。
Show/hide all panels,全てのパネルの表示・非表示
Right Dial:,右ダイヤル:
Full display setup,全画面ディスプレイ設定
4001:10:00,タッチとジェスチャーを設定します
Use Display toggle to quickly change which display(s) your pen is working on.,ペンが作業しているディスプレイを素早く変更するには、マッピング画面切り替えを使用します。
Display settings,ディスプレイ 設定
What is Display Toggle,マッピング画面切り替えとは?
Custom calibration,カスタムキャリブレーション
"Turning your device's touch slider to ""Off"" will fully disable any touch input on this device.",デバイスのタッチスライダーを「オフ」にすると、タッチ入力が完全に無効になります。
You can backup on your local system.,ローカルシステムにバックアップできます。
3090:00:00,上
Notification center,通知センター
"Creation of backup in progress, please wait.",バックアップが進行中です。しばらくお待ちください。
4001:164,Set the current mapping for the Wacom Tablet
Force proportions,縦横比を保持
Use Inset Area,小さな領域を使う
The selected pen display,選択したペンディスプレイ
Off,オフ
Down,下
3001:04:00,USB
Click threshold,クリック圧
Space,スペース
Hover click,浮かした状態でのクリック
Exciting tools like our On-screen shortcuts,オンスクリーンショートカットなどのエキサイティングなツール
Pan/Zoom,パン/ズーム
Middle click,中クリック
3001:14:00,マウス
3110:00:00,"充電中, %d%%"
Scroll up,上スクロール
Your pen display,ペンディスプレイ
Easily enable or disable touch with the switch on your device.,デバイスに搭載あれているタッチオン・オフスイッチでマルチタッチ機能の有効・無効を切り替えられます。
Title,タイトル
3001:01:00,非使用
1380:02:00,反時計回り90度
4001:90,タブレットについて理解する
Help,ヘルプ
Five fingers,5本指
WACOM_CENTER_OFFERS_WEBVIEW_QA,https://www-qa.wacom.com/wacom-center/offers?wcLang=ja
Pan/Zoom...,パン/ズーム…
Opens the Mapping page.,マッピングページを開きます。
WACOM_CENTER_PROFILE_WEBVIEW_DEV,https://www-dev.wacom.com/wacom-center/profile?wcLang=ja
4001:144,タッチ機能： 選択的
Step 1 - Press the Menu button to open the built-in menu.,ステップ1 - メニューボタンを押して内蔵メニューを開きます。
there is a version mismatch between wacom drivers on the local and remote computers. contact your wacom bridge administrator or contact support to troubleshoot your wacom bridge connection.,ローカルコンピュータとリモートコンピュータのワコムドライバーの間にバージョンの不一致があります。Wacom Bridgeの管理者またはサポートに連絡して、Wacom Bridge接続のトラブルシューティングを行ってください。
Clicks,クリック
All your device settings in one place,すべてのデバイス設定の一括管理
Packaged logs have been saved to your desktop.,パッケージされたログがデスクトップに保存されました。
Customize functions of the buttons on the device.,デバイスのボタン機能をカスタマイズします。
Keyboard modifier...,キーボード修飾キー…
Open/Run...,開く/起動…
Click & tap,クリック＆タップ
On,オン
Tap,タップ
4001:11:00,タッチとジェスチャの設定
Step 2: Use your pen to navigate the menus and select options.,ステップ2：ペンを使ってメニューを操作し、オプションを選択します。
Use the pen to click on the Top Left corner of the Portion of Tablet area that you are selecting. Press Esc to cancel.,ペンを使って、タブレット領域の選択する部分の左上隅をクリックします。Escキーを押してキャンセルします。
Let's go!,さっそく詳しく見ていきましょう。
Mode toggle,モード切り替え
You're all set!,設定が完了しました！
Step 3: Press the button next to the power button again to close the built-in display settings menus.,ステップ3：電源ボタンの隣のボタンをもう一度押して、内蔵ディスプレイの設定メニューを閉じます。
"To prevent this, select ""Force proportions"" to use only a proportional area of the pen display. This may leave a portion of your pen display inactive, but ensures proportional pen movement.",これを防ぐには、「縦横比を保持」を選択して、液晶ペンタブレットの比例した領域だけを使うようにします。これにより、液晶ペンタブレットの一部が非アクティブになりますが、ペンの動きが比例するようになります。
Pen Info:,ペン情報:
Please download the latest driver from the Settings section of Wacom Center or from Wacom Support.,Wacom Centerのセッティングセクションか、ワコムサポートページで最新のタブレットドライバをダウンロードしてください。
3. Go to your computer's Bluetooth settings and select Wacom Intuos Pro from the list to start pairing.,3. パソコンの Bluetooth 設定で、リストから Wacom Intuos Pro を選択し、ペアリングを開始します。
Customize the actions of the Rocker ring and its center button.,Rocker Ringとセンターボタンの動作をカスタマイズします。
Pen Firmware:,ペンファームウェア:
Pen buttons,ペンボタン
Driver check complete,ドライバチェック完了
Hover the pen above the surface of the tablet to move the cursor. Tap the pen tip to the surface of the tablet to click.,ペンをタブレット画面の上でホバーさせることでカーソルを移動させられます。タブレットの画面をペン先でタップすることでクリックします。
Profile,プロフィール
Wheel action options,ホイールアクションオプション
Step 3 - Press the middle button on the back of the device again to close the built-in display settings menus.,ステップ3 - デバイス背面の真ん中のボタンを押して、内蔵のディスプレイ設定メニューを閉じます。
Click on the bottom right corner of the portion of screen area that you are selecting. Press Esc to cancel.,画面領域の選択する部分の右下隅をクリックします。Escキーを押してキャンセルします。
Redeem software offers,特典のソフトウェアの利用
Packaging complete,パッケージ化完了
Application defined,アプリケーションの定義
No Wacom device detected,ワコムデバイスが検出されませんでした
Hover over a feature to learn more.,Hover over a feature to learn more.
Wheel,ホイール
All displays,全ディスプレイ
Click to select a set of predefined actions to assign to these buttons or Dial.,各キーやダイヤルに機能を割り当てるプリセットをクリックして選択します。
Place the pen in the top right corner of the tablet's active area and the cursor will snap directly to the top right corner of the screen.,ペンをタブレットの読み取りエリアの右上隅に持っていくと、カーソルが画面の右上隅に直ちに移動します。
Customize functions of the Dials on the device,Customize functions of the Dials on the device
Touch Info:,タッチ情報：
3001:15:00,未知
Create a new local to restore from this list.,Create a new local to restore from this list.
Current,現在
"The Dials can be used to Scroll, Rotate, Zoom, and more.",ダイヤルは、スクロール、回転、ズームなどの操作に使用できます。
4001:91,始め方
Device Info:,デバイス情報：
4001:146,タッチパネルは、現在無効になっています。
Click on the top left corner of the portion of screen area that you are selecting. Press Esc to cancel.,画面領域の選択する部分の左上隅をクリックします。Escキーを押してキャンセルします。
Screen recording,画面録画
Click here to view and redeem software offers that came with your device,Click here to view and redeem software offers that came with your device
All other applications,その他すべてのアプリケーション
Keypad,キーパッド
Create a backup of your current settings or bring back previous settings by restoring a backup from the list below.,現在の設定のバックアップ作成や、以下のリストからバックアップの復元が行えます。
Wacom Support,ワコムサポート
Mapping,マッピング
"Draining, %d%% full",バッテリーは %d%% 充電
Battery is charged,バッテリー充電完了
not connected,未接続
paste,貼り付け
Register your device to get free software and future offers from Wacom.,デバイスを登録すると、無料ソフトウェアを利用できたり、ワコムから今後のキャンペーンを受け取ることができます。
Numbers odd,奇数
Actions,操作
"With Wacom Center, you have:",ワコムセンターの搭載機能:
Tumble,タンブル
Set the selector to USB to send pen tablet input to the USB-connected computing device. Set the selector to one of the two Bluetooth options to send pen tablet input to the computing device paired to that connection.,USBでパソコンに接続してタブレットを操作する場合、セレクターをUSBに合わせます。セレクターを2つのBluetoothどちらかに合わせると、ペアリングされたパソコンで操作できます。
Select an application,アプリケーションを選択
Keyboard modifier,キーボード修飾キー
Bluetooth Firmware:,Bluetoothファームウェア:
Wireless ID:,ワイヤレスID:
Precision mode...,プレシジョンモード…
Zoom/Rotate,拡大縮小/回転
"Do you want to delete the selected preset settings group ""%s""?","Do you want to delete the selected preset settings group ""%s""?"
4001:50:00,タブレットのマッピングを設定します
4001:120,ワコムデバイスのオンラインヘルプ
Backup & restore,バックアップと復元
Keyboard shortcut...,キーボードショートカット…
Left Dial:,左ダイヤル:
Congratulations on your new Wacom device. Let's get ready to create in just a few steps.,新しいワコムデバイスのご購入おめでとうございます。ほんの数ステップで、創作を始めることができます。
Reset,リセット
"Will your MobileStudio Pro mainly be connected to a power outlet? Set your Battery Mode to ""Desktop"" to maximize your battery life. You can find this setting by selecting ""Display Settings"" and then ""Advanced ...""","Will your MobileStudio Pro mainly be connected to a power outlet? Set your Battery Mode to ""Desktop"" to maximize your battery life. You can find this setting by selecting ""Display Settings"" and then ""Advanced …"""
Date created,データの作成日
Pressure hold,筆圧維持
Encryption:,暗号化:
Express menu,エクスプレスメニュー
Basic gestures,基本ジェスチャ
Dial Toggle,ダイヤル切り替え
On-Screen Shortcuts,オンスクリーンショートカット
Show desktop,デスクトップの表示
News,お知らせ
the wacom bridge license could not be verified. contact your wacom bridge administrator to troubleshoot the wacom bridge license connection.,Wacom Bridgeライセンスが確認できませんでした。Wacom Bridgeの管理者に連絡して、Wacom Bridgeライセンス接続のトラブルシューティングを行ってください。
3001:09:00,ペン
"Your device has two Tablet buttons, one on each side. One of these buttons can be set to Touch on/off or an ExpressKey. To set a Tablet button to an ExpressKey: Press and release the Tablet button assigned to Power & Menu to open the built-in menu, select Tablet button, and then ExpressKey.",デバイスには2つのペンタブレットボタンがあり、両側に1つずつあります。 これらのボタンの1 つをタッチ オン/オフまたはExpressKeyに設定できます。 ペンタブレットボタンをExpressKeyに設定するには、電源とメニューに割り当てられたペンタブレットボタンを押して放し、内蔵メニューを開き、ペンタブレットボタンを選択してから、ExpressKeyを選択してください。
Step 3 - Press the Tablet button assigned to Power & Menu again to close the built-in menu.,ステップ3 - 電源とメニューに割り当てられたペンタブレットボタンをもう一度押して、内蔵メニューを閉じます。
Double-tap distance,ダブルタップ距離
Congratulations on your new %s. Click start to learn about your device.,"「%s」をお求めいただき、ありがとうございます。
開始をクリックして、デバイスについてご確認ください。"
WACOM_CENTER_OFFERS_WEBVIEW_DEV,https://www-dev.wacom.com/wacom-center/offers?wcLang=ja
Touch & gestures,タッチとジェスチャ
Layer down,レイヤーダウン
Radial menus,ラジアルメニュー
3090:04:00,4本
disable all expresskeys,すべてのExpressKeyの無効化
This action will return the settings for all tablets to factory defaults.,このアクションは全てのタブレットの設定を工場出荷状態に戻します。
license expired,ライセンスの期限切れ
4001:100,ワコムデバイスの注意事項、仕様、ライセンス、保証
Currently running applications:,今開いているアプリケーション:
Set options for sending pen input to other displays on the system.,ペン入力をシステムの他のディスプレイに送信するオプションを設定します。
Switch application,アプリケーションの切り替え
Driver check,ドライバチェック
View currently connected devices and customize their settings.,接続されているデバイスを表示し、デバイスの設定をカスタマイズできます。
Layers,レイヤー
WACOM_CENTER_OFFERS_WEBVIEW,https://www.wacom.com/wacom-center/offers?wcLang=ja
"Charging, %d%% full","充電中, %d%%"
Finder,Finder
3090:01:00,1本
"If your Wacom pen display's screen has a different format than your monitor, the movement during Display toggle may be distorted and make navigation difficult:",ワコム液晶ペンタブレットの画面がモニターと異なるフォーマットである場合、マッピング画面切り替え時の動きが歪み、ナビゲーションが困難になることがあります:
"Step 2 - Use your pen or touch to select Display Settings, navigate menus, and select options.",ステップ2 - ペンまたはタッチを使用して、ディスプレイ設定を選択し、メニューに移動し、オプションを選択します。
Brush Size,ブラシ サイズ
You can change any of your settings in wacom center. Let's check it out!,Wacom Centerですべての設定の変更が行えます。チェックしてみましょう！
Pen mapping,ペンマッピング
"To turn the touch function on or off, use your device's built-in menu.",タッチ機能をオン/オフにするには、お使いのデバイスの内蔵メニューを使用して行います。
3001:22:00,全スイッチOFF
Current:,現在：
Finger 1,Finger 1
Brush size -,ブラシ サイズ -
Click to select an action to assign to this Dial mode.,このダイヤルモードに割り当てるアクションをクリックして選択します。
Delete,削除
NewPanel,新規パネル
3110:04:00,充電しています
"You can assign ""Touch on/off"" to a Touch key, ExpressKey, or On-screen shortcut button to change the touch setting.","You can assign """"Touch on/off"""" to a Touch key, ExpressKey, or On-screen shortcut button to change the touch setting."
Import,インポート
Please restart Wacom Center.,Wacom Centerを再起動してください。
"Register your device with your Wacom ID to get bundled software, helpful tutorials, and future offers from Wacom.",Wacom IDでデバイスを登録すると、バンドルソフトウェアや役立つチュートリアル、ワコムからのお得な情報などを受け取ることができます。
3001:05:00,In
Battery:,バッテリー:
Assign Display toggle,マッピング画面切り替えを割り当てる
User Ink Injection:,ユーザーインクインジェクション:
4001:51:00,マッピング設定
Back,戻る
Swipe,Swipe
Photoshop drawing,Photoshopでの描画
OEM Code:,OEM コード:
Backup in progress,バックアップが進行中です
Grid panels,グリッドパネル
Photoshop shortcuts,Photoshop用ショートカット
"No errors identified. If you have problems with your driver, try the following:",特定されたエラーはありません。ドライバに問題がある場合、以下をお試しください:
Left Buttons:,左側ボタン:
3110:01:00,充電完了
3114:00:00,はい
1380:03:00,逆さ
Return to the main On-screen shortcuts page.,メインのオンスクリーンショートカットページに戻ります。
Pan/Scroll (Legacy),スクロール/移動(レガシー)
3001:02:00,ADB
Arrow keys,矢印キー
Select the position of your ExpressKeys when working with your tablet.,タブレット使用のExpressKeyの位置を選択します。
On-screen keyboard,オンスクリーンキーボード
Radial menu,ラジアルメニュー
Touch Points:,タッチポイント:
Wacom Tablet Preferences,ワコム タブレット設定パネル
Modifiers,修飾キー
Using a Tablet button as an ExpressKey,ペンタブレットボタンをExpressKeyとして使用する
"wacom bridge license with this wacom driver version valid until: %s. for uninterrupted service, contact your wacom bridge administrator to update the license and/or your wacom driver prior to this date.",このワコムドライババージョンのWacom Bridgeライセンスは、%s まで有効です。サービスを中断しないために、この日付より前にWacom Bridgeの管理者に連絡して、ライセンスおよび/またはワコムドライバーを更新してください。
WACOM_CENTER_DEVPAGE_EDU_WEBVIEW,https://www.wacom.com/wacom-center/product-videos?wcLang=ja&regMethod=%s&feedback=true
Enable / Disable toggle to the device,Enable / Disable toggle to the device
Zoom/Scroll,拡大縮小/スクロール
wacom bridge connection status:,Wacom Bridge 接続状態：
Settings,設定内容
Customize your settings,設定のカスタマイズ
4001:130,Bluetoothでデバイスを接続する方法
Tap to right click,同時タップで右クリック
Pinch,Pinch
Touch: Off,タッチ機能： OFF
3117:00:00,オン
4001:80,ペンとポインタの位置を調整します
Step 1: Press the button next to the power button to open the built-in display settings menus.,ステップ1：電源ボタンの隣にあるボタンを押して、内蔵ディスプレイの設定メニューを開きます。
Change Settings,設定変更
Start,開始
Reverse,リバース
"%d%%, plugged in","%d%%, プラグイン"
Set up the basic functionality of touch and find the selective touch function here.,ここでタッチの基本機能、セレクティブタッチ機能を確認したりすることができます。
"Display Toggle is a function to toggle your cursor between multiple screens, which is only available for multi-screen setups. Connect another display to configure Display Toggle here.","Display Toggle is a function to toggle your cursor between multiple screens, which is only available for multi-screen setups. Connect another display to configure Display Toggle here."
Zoom...,ズーム…
OK,OK
Up/Down arrow,上/下矢印
WACOM_CENTER_DEVPAGE_EDU_WEBVIEW_QA,https://www-qa.wacom.com/wacom-center/product-videos?wcLang=ja&regMethod=%s&feedback=true
Tilt:,傾き:
connected,正常に通信
Select keyboard modifiers to combine with the wheel action.,ホイールアクションと組み合わせるキーボード修飾キーを選択します。
Resource:,Resource:
"Would you like to apply the orientation ""Portrait flipped""?",「縦反転」を適用しますか？
Canvas controls,キャンバスコントロール
"Would you like to apply the orientation ""Portrait""?",「縦」向きを適用しますか？
support,サポート
"Would you like to apply the orientation ""Landscape flipped""?",「横反転」を適用しますか？
Do you want to overwrite your backup,バックアップを復元しますか
4001:110,チュートリアルおよびレッスンでエキスパートやアーティストから学びます
Left/Right arrow,左/右矢印
Touch input is enabled only on Grid panels or Radial menus.,タッチ入力は、グリッドパネルまたはラジアルメニューでのみ有効です。
